Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Germany,2022,,14,,PzH-2000 155mm,self-propelled gun,14,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,25.2,25.2
Ukraine,Germany,2022,,50,,Dingo-2,APC,50,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,7,7
Ukraine,Czechia,2022,,20,?,RM-70 Vampire 122mm,self-propelled MRL,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.38,7.6,7.6
Ukraine,Lithuania,2022,,18,?,M-101A1 105mm,towed gun,18,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,3.24,3.24
Ukraine,Norway,2023,,100,?,IRIS-T,BVRAAM,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for IRIS-T SAM systems,0.08,8,8
Ukraine,Denmark,2022,,54,,M-113A3,APC,54,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,6.48,6.48
Ukraine,Denmark,2022,,20,?,K-6 120mm,mortar,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,2,2
Ukraine,Estonia,2022,,30,,M/41D 120mm,mortar,30,,2022,Second hand,Second-hand; aid,0.1,3,3
Ukraine,Estonia,2022,?,31,?,D-30 122mm,towed gun,31,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,4.34,4.34
Ukraine,United States,2022,,24,?,TPQ-36 Firefinder,artillery locating radar,24,?,2023,New,Aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'counter-artillery radar'),3,72,72
Ukraine,Germany,2022,,255,?,Vulcano-GLR,guided shell,255,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.04,10.2,10.2
Ukraine,Latvia,2022,,2,,Mi-2,light helicopter,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,0.88,0.88
Ukraine,United States,2022,,20000,?,GMLRS,guided rocket,19500,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,640,624
Ukraine,Latvia,2022,,6,,M-109A5 155mm,self-propelled gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A5Oe version,0.5,3,3
Ukraine,Italy,2022,,11,,MLS Shield,APC,11,,2022,New,,0.3,3.3,3.3
Ukraine,United States,2022,,30,?,ScanEagle,UAV,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0.48,0.48
Ukraine,Slovakia,2023,,13,?,MiG-29S,FGA aircraft,13,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine (partly financed by EU); incl 11 MiG-29AS (incl 2 MiG-29UBS combat/trainer) and 2 MiG-29S versions,11.4,148.2,148.2
Ukraine,United States,2022,,72,,L-118 105mm,towed gun,72,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-119 version,0.24,17.28,17.28
Ukraine,Germany,2023,,120,,IRIS-T,BVRAAM,120,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for IRIS-T SAM launchers,0.08,9.6,9.6
Ukraine,North Macedonia,2022,,4,?,Su-25,ground attack aircraft,4,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 1 Su-25UB combat/trainer version,4.6,18.4,18.4
Ukraine,Netherlands,2022,,10,?,Harpoon Block-2,anti-ship missile/SSM,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,United Kingdom,2022,,800,?,Brimstone,ASM,800,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use from land-based launchers,0.06,48,48
Ukraine,Spain,2023,,5,,Harpoon Block-2,anti-ship missile/SSM,5,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2,2
Ukraine,Norway,2023,,3,,ARTHUR,artillery locating radar,3,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,4.8,4.8
Ukraine,Germany,2022,?,175,?,MIM-104 PAC-2,SAM,175,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,70,70
Ukraine,Slovenia,2022,,35,,M-80,IFV,35,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,12.6,12.6
Ukraine,Sweden,2023,,25,?,AIM-120A AMRAAM,BVRAAM,25,?,2023,Second hand,Second-hand; financed by US aid,0.16,4,4
Ukraine,Lithuania,2022,,30,?,2B11 120mm,mortar,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '120mm mortar'),0.1,3,3
Ukraine,Turkiye,2022,,7,?,Bayraktar TB2,armed UAV,7,?,2022,New,Aid after 2022 Russian invasion of Ukraine; originally to be funded by Lithuanian; Polish and Ukrainian private aid but instead donated by producer,2.4,16.8,16.8
Ukraine,Czechia,2022,,435,,Strela-2,portable SAM,435,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,6.96,6.96
Ukraine,Poland,2019,,24,,Dozor-B,APC/APV,24,?,2020; 2021,New,Assembled in Ukraine,0.15,3.6,3.6
Ukraine,Norway,2022,,14,,LMV,APV,14,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.84,0.84
Ukraine,Estonia,2022,,250,?,FGM-148 Javelin,anti-tank missile,250,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,3,3
Ukraine,United States,2022,,1000,?,Switchblade-600,loitering munition,1000,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.15,150,150
Ukraine,Estonia,2022,,7,,Mamba,APC/APV,7,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.42,0.42
Ukraine,Netherlands,2023,,5,,BrPz-1 Biber,armoured bridgelayer,5,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2,2
Ukraine,North Macedonia,2022,,30,?,T-72M1,tank,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.04,31.2,31.2
Ukraine,Germany,2022,,12,,IRIS-T SL,SAM system,3,?,2022; 2023,New,Aid after 2022 Russian invasion of Ukraine; delivery planned 2022-2024,17.5,210,52.5
Ukraine,Croatia,2022,?,10,?,RAK-12,towed MRL,10,?,2023,Second hand,Probably second-hand; probably aid after 2022 Russian invasion of Ukraine,0.03,0.28,0.28
Ukraine,United States,2022,,11,,vehicle engine,vehicle engine,11,,2022,New,Cummins-6.7L (360hp) diesel engine for 11 MLS Shield APC from Italy,0.05,0.55,0.55
Ukraine,Croatia,2022,,15,?,M-46 130mm,towed gun,15,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.26,3.9,3.9
Ukraine,United States,2022,,12,,Avenger,mobile SAM system,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.25,3.02,3.02
Ukraine,Slovakia,2022,,1,,Mi-2,light helicopter,1,,2022,Second hand,Second-hand; financed by EU aid after 2022 Russian invasion of Ukraine,0.44,0.44,0.44
Ukraine,Poland,2022,,1000,?,Piorun,portable SAM,1000,?,2022,New,Aid after 2022 Russian invasion of Ukraine,0.08,80,80
Ukraine,United Kingdom,2023,,50,?,Storm Shadow/SCALP-EG,ASM,50,?,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine,0.26,12.8,12.8
Ukraine,Sweden,2023,,25,?,RBS-70,portable SAM,25,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.8,0.8
Ukraine,Germany,2022,,54,?,vehicle engine,vehicle engine,5,?,2022,New,MTU MT-881 Ka-500 (1000hp) diesel engine for 54 Krab self-propelled guns from Poland; possibly from South Korean production line,0.16,8.64,0.8
Ukraine,United States,2022,?,189,,Piranha-3,APC,189,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Stryker version,0.14,26.46,26.46
Ukraine,Norway,2023,,2,,NASAMS-2,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6,12,12
Ukraine,Czechia,2022,?,19,,vehicle engine,vehicle engine,19,,2023,New,Tatra T-3D (410hp) diesel engine for 19 CAESAR self-propelled guns from France; originally ordered by Denmark but supplied to Ukraine after 2022 Russian invasion of Ukraine; financed by aid from Denmark,0.08,1.52,1.52
Ukraine,United States,2023,,300,?,MIM-104 PAC-3,ABM missile,300,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.32,96,96
Ukraine,South Korea,2022,,54,,K-9,self-propelled gun chassis,5,?,2022,New,Chassis for 54 Krab self-propelled guns from Poland; from Polish production line,0.59,31.86,2.95
Ukraine,Italy,2022,,2,,M-270 MLRS 227mm,self-propelled MRL,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.48,0.96,0.96
Ukraine,Czechia,2023,,1,,RM-70 122mm,self-propelled MRL,1,,2023,Second hand,Second-hand; financed with donations from Czech private persons,0.36,0.36,0.36
Ukraine,Czechia,2022,,4,?,Mi-24V/Mi-35,combat helicopter,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.4,13.6,13.6
Ukraine,United Kingdom,2023,,10,,Bronco,APC,10,,2023,Second hand,Second-hand; financed by German aid; Warthog ambulance version,0.12,1.2,1.2
Ukraine,Netherlands,2022,?,40,?,MIM-104 PAC-2,SAM,40,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; version uncertain (reported as 'Patriot missiles'),0.4,16,16
Ukraine,United States,2022,,4,,MPQ-64 Sentinel,air search radar,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,8,8
Ukraine,United Kingdom,2022,?,14,,Challenger-2,tank,14,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.7,23.8,23.8
Ukraine,Croatia,2022,,11,,Mi-17,transport helicopter,11,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8MTV-1 version,2.9,31.9,31.9
Ukraine,Germany,2023,,42,,BPz-2,ARV,16,,2023,Second hand but modernized,Second-hand but modernixed to Wisent-1 MCT AEV version; aid after 2022 Russian invasion of Ukraine,0.92,38.81,14.78
Ukraine,Germany,2023,?,10,?,Eagle,APV,10,?,2023,Second hand,Eagle-1 version; second-hand; supplier uncertain; probably from Germany,0.06,0.56,0.56
Ukraine,Norway,2023,,5,?,Dingo-2,APC,5,?,2023,Second hand but modernized,Second-hand but modernized to Dingo CORTEX Typhon version,0.23,1.16,1.16
Ukraine,Norway,2022,,23,,M-109A1 155mm,self-propelled gun,23,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A3GN version,0.44,10.12,10.12
Ukraine,Norway,2023,,2,,NASAMS-2,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6,12,12
Ukraine,Spain,2022,,8,,Model-56 105mm,towed gun,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,1.44,1.44
Ukraine,Denmark,2022,,20,?,Harpoon Block-2,anti-ship missile/SSM,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,8,8
Ukraine,Denmark,2022,,1,?,HCDS,coastal defence system,1,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,4,4
Ukraine,Spain,2022,,60,,M-113,APC,60,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,6,6
Ukraine,Czechia,2022,,645,,Konkurs,anti-tank missile,645,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'anti-tank missiles'),0.01,5.16,5.16
Ukraine,United States,2022,,142,,UFH/M-777 155mm,towed gun,142,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-777A2 version,0.4,56.8,56.8
Ukraine,United Kingdom,2022,,6,,Stormer HVM,mobile SAM system,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,4.8,4.8
Ukraine,Czechia,2022,,12,,BM-21 Grad 122mm,self-propelled MRL,12,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.24,2.88,2.88
Ukraine,Germany,2022,,294,?,GMLRS,guided rocket,294,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for MLRS MRL,0.03,9.41,9.41
Ukraine,Czechia,2022,,20,?,T-72M1,tank,20,?,2022,Second hand but modernized,Second-hand but modernized before delivery; aid after 2022 Russian invasions of Ukraine,1.72,34.32,34.32
Ukraine,United States,2022,,300,?,WGU-59 APKWS,ASM,300,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.01,3,3
Ukraine,United Kingdom,2022,,20,?,MXT-MV,APV,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Husky version,0.06,1.28,1.28
Ukraine,Netherlands,2022,,226,?,AIFV-APC,APC,226,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; YPR-765 version,0.12,27.12,27.12
Ukraine,Slovakia,2022,,100,?,Igla,portable SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'air-defence missiles'),0.03,3.2,3.2
Ukraine,Spain,2022,,25,?,Aspide,BVRAAM/SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Spada SAM system,0.07,1.8,1.8
Ukraine,France,2022,,50,?,Mistral,portable SAM,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,1.8,1.8
Ukraine,Portugal,2022,,47,?,M-113,APC,47,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,4.7,4.7
Ukraine,Germany,2022,,1,?,COBRA,artillery locating radar,1,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,4,4
Ukraine,United Kingdom,2022,?,100,?,FV-432,APC,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,12,12
Ukraine,United States,2022,,100,,BATT,APC,100,?,2022; 2023,New,$23 m deal,0.16,16,16
Ukraine,France,2022,,1,,SAMP/T,ABM/SAM system,1,,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine (in cooperation with Italy; incl delivery of launchers from Italy),22,22,22
Ukraine,Spain,2022,,1,,RG-31 Nyala,APC,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ambulance version,0.07,0.07,0.07
Ukraine,Poland,2022,,270,?,T-72M1,tank,270,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl T-72M1R version,1.04,280.8,280.8
Ukraine,Portugal,2022,,4,,VM-90P,APC,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-40.12WM/P version,0.04,0.18,0.18
Ukraine,Canada,2023,,288,,AIM-7M Sparrow,BVRAAM,288,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for SAM systems,0.07,20.74,20.74
Ukraine,United States,2023,?,1,?,S-70 Black Hawk,transport helicopter,1,?,2023,Second hand,Second-hand; UH-60A version,2.6,2.6,2.6
Ukraine,United States,2022,?,31,,M-1A1 Abrams,tank,31,,2023,Second hand,Second-hand; aid after 2002 Russian invasion of Ukraine,1.6,49.6,49.6
Ukraine,Netherlands,2022,,2,,SQUIRE,ground surv radar,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.2,0.4,0.4
Ukraine,United States,2018,,210,?,FGM-148 Javelin,anti-tank missile,210,?,2018,New,Probably second-hand,0.03,6.3,6.3
Ukraine,Sweden,2022,,50,?,AGM-114 Hellfire,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Rb-17 (AGM-114C) version for coastal defence,0.02,0.8,0.8
Ukraine,Latvia,2022,,12,?,Stinger,portable SAM,12,?,2022,Second hand,Second-hand; aid,0.03,0.38,0.38
Ukraine,Germany,2022,?,18,,Leopard-2A6,tank,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,36,36
Ukraine,United States,2023,,38,,UFH/M-777 155mm,towed gun,38,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '155mm Howitzers'),0.4,15.2,15.2
Ukraine,Netherlands,2022,,5,,TPQ-36 Firefinder,artillery locating radar,5,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.2,6,6
Ukraine,United Kingdom,2022,,33,?,FV-432,APC,33,?,2023,Second hand,Second-hand; financed with private donations,0.12,3.96,3.96
Ukraine,France,2022,,30,?,AMX-10RC,armoured car,30,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; AMX-10RCR version,0.48,14.4,14.4
Ukraine,Poland,2023,,14,?,MiG-29S,FGA aircraft,14,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,11.4,159.6,159.6
Ukraine,Poland,2022,?,14,?,Leopard-2A4,tank,14,,2023,Second hand,Second-hand; aid 2022 Russian invasion of Ukraine,1.6,22.4,22.4
Ukraine,Netherlands,2022,?,8,,PzH-2000 155mm,self-propelled gun,8,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,14.4,14.4
Ukraine,France,2023,,1,?,Ground Master-200,air search radar,1,?,2023,New,,10,10,10
